Action,without app,with app,App-specific
locust_login_and_view_dashboard,733,389,False
locust_create_issue:open_quick_create,90,77,False
locust_view_issue,193,183,False
locust_browse_projects,73,73,False
locust_browse_boards,83,78,False
locust_view_scrum_board,143,125,False
locust_view_backlog,354,320,False
locust_add_comment:open_comment,79,78,False
locust_create_issue:fill_and_submit_issue_form,262,208,False
locust_view_project_summary,161,126,False
locust_view_kanban_board,252,243,False
locust_edit_issue:open_editor,111,113,False
locust_search_jql,957,903,False
locust_view_dashboard,129,117,False
locust_add_comment:save_comment,333,281,False
locust_edit_issue:save_edit,154,156,False
selenium_login:open_login_page,1212,1213,False
selenium_login:login_and_view_dashboard,1572,1429,False
selenium_login,2791,2661,False
selenium_project_summary,390,448,False
selenium_browse_projects_list,288,316,False
selenium_browse_boards_list,279,296,False
selenium_create_issue:open_quick_create,773,840,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,690,695,False
selenium_create_issue:fill_and_submit_issue_form,1310,1366,False
selenium_create_issue,2071,2151,False
selenium_edit_issue:open_edit_issue_form,465,614,False
selenium_edit_issue:save_edit_issue_form,697,632,False
selenium_edit_issue,1811,1873,False
selenium_save_comment:open_comment_form,246,259,False
selenium_save_comment:submit_form,601,582,False
selenium_save_comment,1545,1528,False
selenium_search_jql,1530,1548,False
selenium_view_scrum_board_backlog,1074,1079,False
selenium_view_scrum_board,954,949,False
selenium_view_kanban_board,1027,1075,False
selenium_view_dashboard,266,282,False
selenium_view_issue,471,477,False
selenium_log_out,408,419,False
