Action,1 Node,2 Nodes,4 Nodes,App-specific
locust_login_and_view_dashboard,340,463,460,False
locust_view_scrum_board,117,114,111,False
locust_view_issue,170,164,158,False
locust_browse_boards,76,72,71,False
/jira/rest/skillsforjira/1/expertise,8,9,9,True
locust_search_jql,790,713,704,False
/jira/rest/skillsforjira/1/user,842,809,760,True
locust_edit_issue:open_editor,104,102,96,False
/jira/plugins/servlet/skillsforjira/config,53,52,51,True
locust_browse_projects,69,66,62,False
locust_view_kanban_board,235,221,215,False
locust_view_dashboard,111,110,110,False
/jira/rest/skillsforjira/1/queue/validate,12,12,12,True
locust_view_backlog,305,281,266,False
locust_add_comment:open_comment,73,73,68,False
/jira/plugins/servlet/skillsforjira/team,53,51,49,True
locust_edit_issue:save_edit,146,143,137,False
/jira/rest/skillsforjira/1/config/assignments,9,9,9,True
locust_create_issue:open_quick_create,73,85,100,False
/jira/rest/skillsforjira/1/user/updatedAfter?timestamp=1000000000,82,76,70,True
locust_add_comment:save_comment,266,261,250,False
locust_view_project_summary,122,126,130,False
/jira/rest/skillsforjira/1/queue,9,9,10,True
locust_create_issue:fill_and_submit_issue_form,200,200,202,False
/jira/rest/skillsforjira/1/skilltree/global,11,11,12,True
/jira/rest/skillsforjira/1/config/analytics,10,10,10,True
selenium_login:open_login_page,1209,1209,1210,False
selenium_login:login_and_view_dashboard,1082,1078,1081,False
selenium_login,2301,2297,2303,False
selenium_project_summary,465,415,420,False
selenium_browse_projects_list,310,315,311,False
selenium_browse_boards_list,266,293,258,False
selenium_create_issue:open_quick_create,858,835,855,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,696,697,698,False
selenium_create_issue:fill_and_submit_issue_form,1343,1337,1336,False
selenium_create_issue,2159,2130,2168,False
selenium_edit_issue:open_edit_issue_form,646,655,650,False
selenium_edit_issue:save_edit_issue_form,592,595,620,False
selenium_edit_issue,1834,1830,1869,False
selenium_save_comment:open_comment_form,266,253,253,False
selenium_save_comment:submit_form,580,568,566,False
selenium_save_comment,1551,1524,1518,False
selenium_search_jql,1564,1481,1458,False
selenium_view_scrum_board_backlog,1102,1068,1069,False
selenium_view_scrum_board,945,948,928,False
selenium_view_kanban_board,1045,1072,1039,False
selenium_view_dashboard,277,275,279,False
selenium_view_issue,473,468,470,False
selenium_log_out,407,409,421,False
